"id","test_date","img_id","fen_id","toc_code","alt_id","area","nonsurvey_def","appellation_date","parcel_intent","status","total_area","calculated_area","se_row_id","audit_id","shape"
3007668,"01/05/2010",,,"PRIM",,,"abcCabcB \n\nabcocument Id: CT 247/5",,"abcCabcB","CURR",1202928.0,,3007668,1917,"MULTIPOLYGON (((170.9133899333 -45.0542126167)))"
3007668,"01/05/2010",,,"PRIM",,,"abcCabcB abcocument Id: CT 247/5","1800-01-01 00:00:00","abcCabcB","CURR",1202928.0,,3007668,1917,"MULTIPOLYGON (((149.0866100667 -45.0542126167)))"
3007668,"01/01/1800",,,"PRIM",,,"abcCabcB \nabcocument \nId:  CT  247/5",,"abcCabcB","CURR",1202928.0,,3007668,1917,
3007668,"01/05/2010",,,"PRIM",,,"abcCabcB abcocument Id: CT 247/5","2012-10-01 02:33:44","abcCabcB","CURR",1202928.0,,3007668,1917,"MULTIPOLYGON (((170.9133899333 -45.0542126167)))"
3018422,,,,"PRIM",,,"abcCabcB abcocument Id: CT 247/5",,"abcCabcB","CURR",1202928.0,,3018422,105415,"MULTIPOLYGON (((170.91783885 -45.05600725, 170.9164488167 -45.0560156, 170.9171581833 -45.0564572333, 170.9178470667 -45.0568397167, 170.91783885 -45.05600725)))"
3222203,"01/05/2010",,,"PRIM",,,,,"abcCabcB","CURR",,,3222203,381025,"MULTIPOLYGON (((168.41344805 -45.6865655333, 168.41343688333 -45.6866262833, 168.41343338333 -45.6866766, 168.41345236667 -45.6867303333, 168.41349723333 -45.6867929167, 168.41350885 -45.68684375, 168.41352423333 -45.6868947, 168.41355308333 -45.68697, 168.41358138333 -45.68705325, 168.41357768333 -45.6871062167, 168.41357308333 -45.6871724167, 168.41357188333 -45.6872440333, 168.41360128333 -45.6873114, 168.41363823333 -45.6873790167)))"
3242556,"01/05/2010",,,"PRIM",,3502.0,,,"abcCabcB","CURR",,,3242556,310606,"MULTIPOLYGON (((168.33820728333 -46.40842255, 168.33820438333 -46.4084637, 168.33818063333 -46.4087994167, 168.3381809 -46.4091812667, 168.33865636667 -46.4091811, 168.33873295 -46.4091810833, 168.33873323333 -46.4095964333, 168.3387358 -46.4095964333, 168.3387358 -46.40959465, 168.33873523333 -46.4087992167, 168.33873508333 -46.4085731333, 168.33873503333 -46.4084909, 168.33869538333 -46.4084635, 168.33857653333 -46.4084635333, 168.33857651667 -46.4084224167, 168.33820728333 -46.40842255)))"
3243565,,,,"PRIM",,11621.0,,,"abcCabcB","CURR",,,3243565,336028,"MULTIPOLYGON (((168.3381496 -46.4106288167, 168.33916275 -46.4106284333, 168.33916283333 -46.4107614667, 168.33927678333 -46.4110592333, 168.33927688333 -46.4111890333, 168.33957733333 -46.4111889167, 168.33957718333 -46.41097875, 168.33957705 -46.4107613167, 168.33956911667 -46.4107613167, 168.33916541667 -46.4107614667, 168.33916505 -46.4102029, 168.34001276667 -46.4102025833, 168.34001248333 -46.4098114333, 168.33996013333 -46.4097752667, 168.33873571667 -46.4097757333, 168.33865671667 -46.4097756667, 168.33818106667 -46.4097759167, 168.3381496 -46.4106288167)))"
3284500,"01/05/2010",,,"PRIM",,2809.0,,,"abcCabcB","CURR",,,3284500,321092,"MULTIPOLYGON (((168.3381809 -46.4091812667, 168.338181 -46.40967955, 168.33818103333 -46.4097217167, 168.33818106667 -46.4097759167, 168.33865671667 -46.4097756667, 168.33873571667 -46.4097757333, 168.3387358 -46.4095964333, 168.33873323333 -46.4095964333, 168.33873295 -46.4091810833, 168.33865636667 -46.4091811, 168.3381809 -46.4091812667)))"
3301248,"01/05/2010",,101148,"PRIM",,,,,"HYabcR","CURR",,,3301248,350448,"MULTIPOLYGON (((168.41396198333 -45.6858758667, 168.4138936 -45.6859673, 168.41389451667 -45.6859682167, 168.41390036667 -45.6859775833, 168.4139163 -45.6859827333, 168.41403615 -45.6860855167, 168.41403873333 -45.6860947833, 168.4140947 -45.6861334167, 168.41411221667 -45.6861615333, 168.41415031667 -45.6861766333, 168.41419858333 -45.68623105, 168.41421268333 -45.6862613333, 168.4142405 -45.6862829333, 168.4142678 -45.6863114, 168.41427948333 -45.6863301333, 168.41428206667 -45.6863393833, 168.41434061667 -45.6863873, 168.41434596667 -45.6864035167, 168.4143832 -45.68643005, 168.41443113333 -45.6864890167, 168.41443371667 -45.6864982667, 168.41447405 -45.6865272, 168.41453648333 -45.6866554, 168.41454106667 -45.68672655, 168.41453358333 -45.68678355, 168.41451528333 -45.6868103667, 168.41451135 -45.6868193833, 168.4144699 -45.6868499667, 168.41431788333 -45.6869177833, 168.41430743333 -45.6869265667, 168.41425721667 -45.6869430833, 168.41422638333 -45.6869626, 168.41414515 -45.6870009, 168.41411841667 -45.6870091, 168.41408488333 -45.6870263833, 168.41408106667 -45.6870283667, 168.41401545 -45.6870764, 168.41394456667 -45.6871517167, 168.41392795 -45.6871865833, 168.41384798333 -45.68735435, 168.41384828333 -45.6873648667, 168.41384796667 -45.6873844833, 168.41383248333 -45.6874399167, 168.41382978333 -45.6874627, 168.41386185 -45.6875187833, 168.41388281667 -45.6875679667, 168.41391315 -45.6876135333, 168.41399228333 -45.68769945, 168.41415516667 -45.6878319167, 168.41417588333 -45.68785815, 168.414236 -45.6879033333, 168.41427223333 -45.6879242, 168.41431313333 -45.6879557667, 168.41434416667 -45.6879700667, 168.41436561667 -45.6879900833, 168.41442673333 -45.688027, 168.41450383333 -45.6880543833, 168.41457135 -45.6880874833, 168.41461421667 -45.6881024833, 168.41467391667 -45.6881151333, 168.41473326667 -45.6881330833, 168.41477998333 -45.6881692, 168.41483426667 -45.68820555, 168.4148738 -45.6882361, 168.41490725 -45.6882452, 168.41497811667 -45.6882609, 168.4150449 -45.6882799167, 168.41514703333 -45.6882838167, 168.41519825 -45.6883012833, 168.41526993333 -45.6882824333, 168.41534315 -45.68827965, 168.41540861667 -45.6882697833, 168.415489 -45.6882772167, 168.41554998333 -45.6882669167, 168.41559875 -45.6882491333, 168.41575376667 -45.6882220667, 168.41591318333 -45.6881476333, 168.41593013333 -45.6881300833, 168.41593201667 -45.6881290833, 168.41595471667 -45.6881147167, 168.41596893333 -45.6880992, 168.41599308333 -45.68808175, 168.41611011667 -45.68791895, 168.41625148333 -45.6877223, 168.41626688333 -45.6876908, 168.4163291 -45.6875556333, 168.41639515 -45.6874572333, 168.41650625 -45.6873238167, 168.41652713333 -45.68730625, 168.41653466667 -45.6872927667, 168.41656258333 -45.6872685833, 168.41660711667 -45.6872404167, 168.41663745 -45.68722775, 168.41667498333 -45.6872062, 168.41670856667 -45.6871936667, 168.41677333333 -45.68715705, 168.41686073333 -45.68712355, 168.41689466667 -45.68710645, 168.41704206667 -45.6870567667, 168.41708183333 -45.68704905, 168.41716546667 -45.6870222667, 168.41730968333 -45.687016, 168.41739198333 -45.6870075, 168.4177281 -45.6870126833, 168.41783393333 -45.6870393833, 168.41784971667 -45.6870468167, 168.41793326667 -45.6870658333, 168.41802606667 -45.6870920667, 168.41804546667 -45.68709505, 168.41820073333 -45.6871601667, 168.41827625 -45.6871995167, 168.41829788333 -45.6872163333, 168.41834216667 -45.6872362333, 168.41837306667 -45.68726025, 168.41839318333 -45.6872976167, 168.41848455 -45.6873879167, 168.4185127 -45.68740495, 168.41858635 -45.6874694167, 168.41863278333 -45.68754895, 168.41870831667 -45.6877211333, 168.41871233333 -45.6877556167, 168.41873443333 -45.6878549, 168.41873858333 -45.6878871, 168.4187546 -45.6879357667, 168.41875653333 -45.68795415, 168.4187703 -45.687989, 168.41878473333 -45.6880147167, 168.41879633333 -45.68807925, 168.41881268333 -45.68812335, 168.4188315 -45.6883118167, 168.41884268333 -45.6883374, 168.41884443333 -45.6883580833, 168.41881321667 -45.6884714667, 168.41878688333 -45.6885186167, 168.41878195 -45.6885413333, 168.41877065 -45.6885615333, 168.41876611667 -45.6886232, 168.41878708333 -45.68864915, 168.41880535 -45.6887116333, 168.4188606 -45.6888487333, 168.41887405 -45.68888815, 168.41893916667 -45.6889798, 168.41896296667 -45.6890562333, 168.41896083333 -45.6891294333, 168.41885773333 -45.68933185, 168.4188468 -45.6893474833, 168.41881373333 -45.6894497333, 168.41880873333 -45.6894652, 168.41881621667 -45.68954105, 168.41882415 -45.6895665167, 168.4188218 -45.6895985, 168.41884215 -45.6896771, 168.41885075 -45.6896934333, 168.4188494 -45.6897117, 168.41885441667 -45.6897325, 168.41885561667 -45.68974995, 168.418856 -45.68975545, 168.41886666667 -45.6897879, 168.41887073333 -45.6898659, 168.41889418333 -45.6899469, 168.41890848333 -45.6899654667, 168.41893593333 -45.6900010667, 168.41896735 -45.6900182333, 168.41897628333 -45.69003, 168.41900151667 -45.69004235, 168.4190106 -45.69005185, 168.4191127 -45.6900852667, 168.41918203333 -45.6901198167, 168.41928933333 -45.6901525, 168.41949921667 -45.69007165, 168.41943346667 -45.69003265, 168.41931735 -45.69001245, 168.41923605 -45.69000725, 168.41917498333 -45.6899936167, 168.41913721667 -45.6899739333, 168.41904776667 -45.6899020167, 168.41903641667 -45.6898787167, 168.4190213 -45.68986215, 168.41897796667 -45.6897850167, 168.4189702 -45.68975725, 168.41896315 -45.68963105, 168.41897268333 -45.6895901667, 168.4189823 -45.68948745, 168.41898805 -45.6894258333, 168.41902145 -45.68928275, 168.41903643333 -45.6892123, 168.41905573333 -45.6891717667, 168.41907285 -45.6890281, 168.41909691667 -45.6889671333, 168.41909201667 -45.68890055, 168.4190225 -45.68873545, 168.4189849 -45.6887135, 168.41896051667 -45.6886897333, 168.41894898333 -45.6886687, 168.41894398333 -45.6886479167, 168.4189323 -45.6886291667, 168.41892746667 -45.6886060833, 168.41893525 -45.68854455, 168.41894805 -45.6885037833, 168.41893656667 -45.6883934333, 168.41893891667 -45.6883614667, 168.4189845 -45.6882302667, 168.41898585 -45.688212, 168.4189659 -45.68817235, 168.41895498333 -45.6880986833, 168.41892148333 -45.6880654167, 168.41886596667 -45.6879764, 168.41885373333 -45.6878316833, 168.41884148333 -45.6877762833, 168.4188399 -45.6877533333, 168.41884451667 -45.6877351667, 168.418835 -45.68768675, 168.41883385 -45.6876134167, 168.41881015 -45.6875805, 168.41877918333 -45.6875129833, 168.41872708333 -45.6874218, 168.41871005 -45.6873868333, 168.41869218333 -45.6873633, 168.41859155 -45.6872658, 168.41849181667 -45.6872003833, 168.41847978333 -45.6871862167, 168.41827605 -45.6870689833, 168.41823261667 -45.68703765, 168.41812261667 -45.6869787333, 168.4180557 -45.6869557333, 168.41784818333 -45.68693455, 168.41781868333 -45.6869357833, 168.41774718333 -45.6869309167, 168.41766538333 -45.6869325667, 168.41762695 -45.6869220333, 168.41759111667 -45.68692075, 168.4169802 -45.6869652333, 168.41690391667 -45.6869808167, 168.4168002 -45.6870137333, 168.4166121 -45.6871283667, 168.41654255 -45.6871854167, 168.4164355 -45.6872640167, 168.41633053333 -45.6873587333, 168.41629608333 -45.6873826833, 168.41616736667 -45.6875337833, 168.41614888333 -45.6875629, 168.41610463333 -45.6876758167, 168.4160747 -45.6877274167, 168.41600705 -45.6878921667, 168.41599258333 -45.6879054, 168.41589143333 -45.6879979333, 168.41587346667 -45.6880202, 168.4158214 -45.6880618333, 168.41579383333 -45.6880814667, 168.41570265 -45.6881217, 168.41554205 -45.6881731833, 168.41546918333 -45.6881866, 168.41534143333 -45.6881911833, 168.41517233333 -45.6881805333, 168.41497285 -45.6881390167, 168.4147625 -45.68806735, 168.41463278333 -45.6880100167, 168.41450471667 -45.68792985, 168.41447315 -45.6879149833, 168.41426786667 -45.6877747833, 168.414256 -45.6877583167, 168.41416998333 -45.6876842333, 168.41415503333 -45.6876653833, 168.41411176667 -45.6876317667, 168.41405046667 -45.6875769, 168.41403311667 -45.6875465, 168.4140144 -45.6875343833, 168.4139972 -45.6875017, 168.41395938333 -45.6874385, 168.4139482 -45.6874129167, 168.41394113333 -45.6873760167, 168.4139459 -45.6873555833, 168.41393965 -45.6873072667, 168.41394443333 -45.6872868333, 168.413942 -45.6872752833, 168.41396133333 -45.68723475, 168.41398716667 -45.6871944667, 168.41403973333 -45.6871459667, 168.41406731667 -45.68712635, 168.41409113333 -45.6871134667, 168.41413023333 -45.68707935, 168.41413651667 -45.6870738667, 168.41425135 -45.6870230333, 168.41427533333 -45.68700785, 168.41439323333 -45.6869594167, 168.41443008333 -45.686947, 168.41445096667 -45.6869294333, 168.41454265 -45.6868823333, 168.41461353333 -45.6868070167, 168.41463026667 -45.68675725, 168.41462496667 -45.6866517, 168.41461963333 -45.6866354833, 168.41462098333 -45.6866172, 168.41460755 -45.6865778, 168.4145364 -45.68647905, 168.41452095 -45.68646705, 168.41439863333 -45.6863092167, 168.41439036667 -45.6862883167, 168.4143234 -45.6862217833, 168.41428733333 -45.6861792667, 168.41425408333 -45.6861490667, 168.41422758333 -45.6861126, 168.4141819 -45.6860582333, 168.41411156667 -45.6859994, 168.4140465 -45.6859372667, 168.41396198333 -45.6858758667)))"
