ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
,,,,U+0000,,0,<control> NUL – Null character,Basic Latin,,,,,,,,,,,,,,
,,,,U+0001,,1,<control> SOH – Start of Heading,,,,,,,,,,,,,,,
,,,,U+0002,,2,<control> STX – Start of Text,,,,,,,,,,,,,,,
,,,,U+0003,,3,<control> ETX – End-of-text character,,,,,,,,,,,,,,,
,,,,U+0004,,4,<control> EOT – End-of-transmission character,,,,,,,,,,,,,,,
,,,,U+0005,,5,<control> ENQ – Enquiry character,,,,,,,,,,,,,,,
,,,,U+0006,,6,<control> ACK – Acknowledge character,,,,,,,,,,,,,,,
,,,,U+0007,,7,<control> BEL – Bell character,,,,,,,,,,,,,,,
,,,,U+0008,,8,<control> BS – Backspace,,,,,,,,,,,,,,,
,,,,U+0009,,9,<control> HT – Horizontal tab,,,,,,,,,,,,,,,
,,,,U+000A,,0a,<control> LF – Line feed,,,,,,,,,,,,,,,
,,,,U+000B,,0b,<control> VT – Vertical tab,,,,,,,,,,,,,,,
,,,,U+000C,,0c,<control> FF – Form feed,,,,,,,,,,,,,,,
,,,,U+000D,,0d,<control> CR – Carriage return,,,,,,,,,,,,,,,
,,,,U+000E,,0e,<control> SO – Shift Out,,,,,,,,,,,,,,,
,,,,U+000F,,0f,<control> SI – Shift In,,,,,,,,,,,,,,,
,,,,U+0010,,10,<control> DLE – Data Link Escape,,,,,,,,,,,,,,,
,,,,U+0011,,11,<control> DC1 – Device Control 1,,,,,,,,,,,,,,,
,,,,U+0012,,12,<control> DC2 – Device Control 2,,,,,,,,,,,,,,,
,,,,U+0013,,13,<control> DC3 – Device Control 3,,,,,,,,,,,,,,,
,,,,U+0014,,14,<control> DC4 – Device Control 4,,,,,,,,,,,,,,,
,,,,U+0015,,15,<control> NAK – Negative-acknowledge character,,,,,,,,,,,,,,,
,,,,U+0016,,16,<control> SYN – Synchronous Idle,,,,,,,,,,,,,,,
,,,,U+0017,,17,<control> ETB – End of Transmission Block,,,,,,,,,,,,,,,
,,,,U+0018,,18,<control> CAN – Cancel character,,,,,,,,,,,,,,,
,,,,U+0019,,19,<control> EM – End of Medium,,,,,,,,,,,,,,,
,,,,U+001A,,1a,<control> SUB – Substitute character,,,,,,,,,,,,,,,
,,,,U+001B,,1b,<control> ESC – Escape character,,,,,,,,,,,,,,,
,,,,U+001C,,1c,<control> FS – File Separator,,,,,,,,,,,,,,,
,,,,U+001D,,1d,<control> GS – Group Separator,,,,,,,,,,,,,,,
,,,,U+001E,,1e,<control> RS – Record Separator,,,,,,,,,,,,,,,
,,,,U+001F,,1f,<control> US – Unit Separator,,,,,,,,,,,,,,,
32,SP,0020,,U+0020,,20,SPACE,,,,,,,,,,,,,,,
33,!,0021,,U+0021,!,21,EXCLAMATION MARK,,,,,,,,,,,,,,,
34,"""",0022,,U+0022,"""",22,QUOTATION MARK,,,,,,,,,,,,,,,
35,#,0023,,U+0023,#,23,NUMBER SIGN,,,,,,,,,,,,,,,
36,$,0024,,U+0024,$,24,DOLLAR SIGN,,,,,,,,,,,,,,,
37,%,0025,,U+0025,%,25,PERCENT SIGN,,,,,,,,,,,,,,,
38,&,0026,,U+0026,&,26,AMPERSAND,,,,,,,,,,,,,,,
39,',0027,,U+0027,',27,APOSTROPHE,,,,,,,,,,,,,,,
40,(,0028,,U+0028,(,28,LEFT PARENTHESIS,,,,,,,,,,,,,,,
41,),0029,,U+0029,),29,RIGHT PARENTHESIS,,,,,,,,,,,,,,,
42,*,002A,,U+002A,*,2a,ASTERISK,,,,,,,,,,,,,,,
43,+,002B,,U+002B,+,2b,PLUS SIGN,,,,,,,,,,,,,,,
44,",",002C,,U+002C,",",2c,COMMA,,,,,,,,,,,,,,,
45,-,002D,,U+002D,-,2d,HYPHEN-MINUS,,,,,,,,,,,,,,,
46,.,002E,,U+002E,.,2e,FULL STOP,,,,,,,,,,,,,,,
47,/,002F,,U+002F,/,2f,SOLIDUS,,,,,,,,,,,,,,,
48,0,0030,,U+0030,0,30,DIGIT ZERO,,,,,,,,,,,,,,,
49,1,0031,,U+0031,1,31,DIGIT ONE,,,,,,,,,,,,,,,
